organism,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
Acanthostigma clintonii,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigma,Acanthostigma perpusillum,5,95,183,7759254,8316,2560760,2613808
Acanthostigma revocatum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigma,Acanthostigma revocatum,5,95,183,7759254,8316,2560760,2613805
Acerviclypeatus poriformans,Fungi,Ascomycota,Sordariomycetes,Phyllachorales,Phyllachoraceae,Ophiodothella,Ophiodothella vaccinii,5,95,320,1026,3304,2567046,2572017
Acremonium sordidulum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Acremonium,Acremonium sordidulum,5,95,320,1290,8419,2560451,2562368
Acremonium strictum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,Sarocladium,Sarocladium strictum,5,95,320,1290,NA,2562111,7794879
Acrosporella sarmentorum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium sarmentorum,5,95,183,1262,3563987,2518208,7868728
Acrosporium acalyphae,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Fibroidium,Fibroidium acalyphae,5,95,179,1277,8379,7844087,7804656
Acrosporium acanthospermi,Fungi,Ascomycota,NA,NA,NA,Acrosporium,Acrosporium acanthospermi,5,95,NA,NA,NA,2554904,6020717
Acrosporium anacardii,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Pseudoidium,Pseudoidium anacardii,5,95,179,1277,8379,7246356,8420733
Acrosporium caricae,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Pseudoidium,Pseudoidium caricae,5,95,179,1277,8379,7246356,7763901
Acrosporium chrysanthemi,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Euoidium,Euoidium chrysanthemi,5,95,179,1277,8379,7246342,7572055
Acrosporium cyparissiae,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Fibroidium,Fibroidium cyparissiae,5,95,179,1277,8379,7844087,7724481
Acrosporium heveae,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Oidium,Oidium heveae,5,95,179,1277,8379,7975765,5255279
Acrosporium hyalinum,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilia,Monilia hyalina,5,95,179,1052,8385,9505517,5495953
Acrosporium lagasceae,Fungi,Ascomycota,NA,NA,NA,Acrosporium,Acrosporium lagasceae,5,95,NA,NA,NA,2554904,6020726
Acrosporium leucoconium,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera pannosa,5,95,179,1277,8379,2578043,5255308
Acrosporium lini,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Golovinomyces,Golovinomyces orontii,5,95,179,1277,8379,8088553,2578291
Acrosporium mangiferae,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Oidium,Oidium mangiferae,5,95,179,1277,8379,7975765,5255265
Acrosporium monilioides,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Blumeria graminis,5,95,179,1277,8379,2578271,2578272
Acrosporium oxalidis,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Pseudoidium,Pseudoidium oxalidis,5,95,179,1277,8379,7246356,7871574
Acrosporium scopariae,Fungi,Ascomycota,NA,NA,NA,Acrosporium,Acrosporium scopariae,5,95,NA,NA,NA,2554904,6020709
Acrosporium tingitaninum,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Fibroidium,Fibroidium tingitaninum,5,95,179,1277,8379,7844087,8122756
Acrosporium tuckeri,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Erysiphe necator,5,95,179,1277,8379,2578311,2578415
Acrostalagmus aphidum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Acrostalagmus,Acrostalagmus aphidum,5,95,320,1290,8419,2560464,2562042
Acrostalagmus cinnabarinus,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Acrostalagmus,Acrostalagmus luteoalbus,5,95,320,1290,8419,2560464,2562043
Acrostalagmus parasitans,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Acrostalagmus,Acrostalagmus parasitans,5,95,320,1290,8419,2560464,3448905
Acrostalagmus roseus,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Acrostalagmus,Acrostalagmus roseus,5,95,320,1290,8419,2560464,3448915
Acrotheca dearnessiana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Acrotheca,Acrotheca dearnessiana,5,95,183,1262,4797,7254444,3284077
Acrotheca gei,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora gei,5,95,183,1262,4797,2589681,3502597
Acrothecium arenarium,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia inaequalis,5,95,183,1047,8315,2569225,2616436
Acrothecium canavaliae,Fungi,Ascomycota,NA,NA,NA,Acrothecium,Acrothecium canavaliae,5,95,NA,NA,NA,9532663,3475507
Acrothecium carotae,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Rhexocercosporidium,Rhexocercosporidium carotae,5,95,179,1052,NA,2584765,2620709
Acrothecium lunatum,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia lunata,5,95,183,1047,8315,2569225,2616016
Acrothecium penniseti,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia penniseti,5,95,183,1047,8315,2569225,2616459
Actinonema aquilegiae,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,Ascochyta,Ascochyta aquilegiae,5,95,320,1289,NA,9558579,2615198
